Precinct,DallasCo_A,CONG_C2193,HOUSE_H231,SEN_S2168,SBOE_E2106,DallasCo_1,Shape_Leng,Shape_Area,Registered,Beckley Votes,Collier Votes,Total Votes,Collier Margin
2612,2,33,115,12,11,4,5357.586148,1769844.654,436,10,4,18,-6
2613,2,33,115,12,11,4,31579.89272,54864942.17,4065,88,79,236,-9
2614,2,33,115,12,11,4,16681.29032,10413319.67,168,4,4,8,0
3307,3,5,107,16,9,2,26805.32442,32578454.81,2107,32,32,85,0
3000,3,30,108,16,13,1,13176.19632,9529004.003,4208,41,112,187,71
3306,3,5,107,16,9,2,23808.53439,24798338.16,1887,34,20,90,-14
3001,3,30,111,23,13,1,14831.51773,7165311.22,547,14,12,40,-2
3921,3,5,109,2,9,1,73101.91062,228511165.9,5260,101,74,287,-27
3002,3,33,111,23,13,1,20629.49315,18295232.6,1030,32,18,71,-14
3920,3,5,109,2,9,1,150697.9086,789129688.9,2576,38,35,118,-3
3003,3,30,111,23,13,1,21047.26425,22582402.33,1829,116,122,364,6
3319,3,5,109,16,9,2,8036.827343,943279.8907,121,9,4,17,-5
3004,3,30,111,23,13,1,21970.09856,25632646.35,1975,133,163,419,30
3321,3,5,110,16,9,2,1452.915899,88175.35601,0,0,0,0,0
3005,3,30,100,23,13,5,6742.987903,1652155.135,719,7,8,23,1
3500,3,5,112,2,9,2,59358.79387,155003301.3,3737,61,87,208,26
3006,3,30,108,23,13,1,18377.7009,6974546.508,4509,54,96,189,42
3967,3,5,112,2,9,2,24929.06025,37070747.28,1497,34,41,106,7
3007,3,30,108,23,13,1,24325.421,7819800.178,1659,12,33,69,21
3501,3,5,112,2,9,2,41844.33571,79008144.49,0,0,0,0,0
3008,3,30,114,23,13,1,20781.43999,14712051.4,3595,23,18,56,-5
3980,3,5,112,2,9,2,25744.76064,35353049.78,3722,51,52,162,1
3009,3,30,100,23,13,1,19648.06365,14741315.99,0,0,0,0,0
3981,3,5,112,2,9,2,24484.67863,28929978.81,1662,23,32,72,9
3010,3,33,104,23,13,1,12468.0001,8314139.326,514,29,27,84,-2
3969,3,5,112,2,9,2,27389.41289,38282457.92,2919,54,69,180,15
3011,3,30,100,23,13,1,9865.829893,2872550.982,1087,17,33,66,16
3970,3,5,112,2,9,2,48931.17614,89674470.47,3481,63,96,226,33
3012,3,30,110,23,13,1,49006.48241,102478629.9,169,6,4,14,-2
3964,3,5,112,2,9,2,51665.87973,88971887.67,2241,53,47,147,-6
3013,3,30,110,16,9,1,46545.53754,102913922.3,918,22,12,50,-10
3971,3,5,112,2,9,2,26401.62777,30974841.05,3139,51,57,167,6
3014,3,30,110,16,9,1,49086.26783,78856590.87,2827,45,33,127,-12
3702,3,5,112,2,9,2,59863.64072,123752745.2,0,0,0,0,0
3015,3,30,110,16,9,1,28359.46406,27113490.83,292,9,1,11,-8
3968,3,5,112,2,9,2,32340.20418,42286451.43,3817,104,80,284,-24
3016,3,30,100,23,13,1,39754.10637,44760425.47,1842,49,69,178,20
3960,3,5,112,2,9,2,40792.55299,64086852.21,3559,92,57,230,-35
3017,3,30,100,23,13,1,16349.06317,14978880.91,840,26,22,69,-4
3701,3,5,112,2,9,2,57271.15662,20938491.89,0,0,0,0,0
3018,3,30,100,23,13,1,22360.62263,18481148.86,1813,94,56,244,-38
3982,3,5,112,2,9,2,72208.72806,166720891.8,3389,35,60,146,25
3019,3,30,100,23,13,1,15343.30562,10131797.01,863,29,21,78,-8
3961,3,5,112,2,9,2,48430.96779,47298254.39,2716,67,55,197,-12
3020,3,30,100,23,13,5,19920.39491,19485873.73,223,6,8,20,2
3966,3,5,113,2,9,2,24856.02634,36159717.79,3767,79,82,264,3
3021,3,30,100,23,13,1,14972.34619,11612233.97,1090,30,21,78,-9
3305,3,5,113,2,9,2,33259.02164,57948151.9,4188,109,85,293,-24
3022,3,30,100,23,13,1,20972.37611,24344666.36,1989,53,33,129,-20
3304,3,5,113,2,9,2,38198.84864,43087487.72,3000,64,70,206,6
3023,3,30,100,23,13,1,15728.44995,10278714.67,1312,57,49,149,-8
3962,3,5,113,2,9,2,50558.26884,114307725,4925,112,98,346,-14
3024,3,30,100,23,13,1,19580.15643,14743809.99,1589,71,40,156,-31
3318,3,5,113,16,9,2,22987.69172,21673104.48,1594,55,50,181,-5
3025,3,30,100,23,13,1,14848.20062,5947759.394,180,4,3,11,-1
3309,3,5,113,16,9,2,30530.16854,27491020.78,2101,50,53,156,3
3026,3,30,100,23,13,1,22976.34003,19837944.23,874,32,20,77,-12
3310,3,5,113,16,9,2,25134.86861,31038484.24,2954,53,41,152,-12
3027,3,30,100,23,13,1,26343.42213,15002725.44,1335,62,36,144,-26
3311,3,5,113,16,9,2,24731.113,19798750.25,2471,41,31,112,-10
3028,3,30,100,23,13,1,13685.02267,8553070.253,984,45,27,113,-18
3312,3,5,113,16,9,2,21379.92677,29620251.34,3249,101,92,300,-9
3029,3,30,100,23,13,1,18114.50888,13430131.32,910,29,17,73,-12
3317,3,5,113,16,9,2,69770.56941,190444953.6,2215,100,70,282,-30
3030,3,30,110,16,13,1,23637.96949,15241754.47,13,0,0,1,0
3325,3,5,113,16,9,2,61154.47597,105606410,1899,66,73,215,7
3031,3,30,110,16,9,1,30777.97228,34501200.71,824,14,9,40,-5
3315,3,5,113,16,9,2,20542.70904,15021087.43,1749,27,24,77,-3
3032,3,33,104,23,13,5,14304.24572,11729421.68,1270,25,24,81,-1
3316,3,5,113,16,9,2,31150.77997,29455985.65,2869,72,69,232,-3
3033,3,30,100,23,13,5,21858.5268,22558934.95,487,13,5,32,-8
3034,3,30,100,23,13,1,14526.49617,13002520.76,1452,81,45,191,-36
3035,3,30,100,23,13,1,25155.01621,23695422.18,1588,61,40,157,-21
3036,3,30,100,23,13,1,27023.74213,18503162.63,32,1,0,1,-1
3094,3,30,100,23,13,5,11369.19983,7675518.115,0,0,0,0,0
3037,3,30,100,23,13,1,16622.65867,6487404.488,434,19,15,49,-4
3038,3,30,100,23,13,1,24602.79468,19716574.25,826,58,63,176,5
3039,3,30,110,23,13,1,26653.54542,26552271.97,2099,142,89,345,-53
3040,3,30,100,23,13,1,42569.81404,70104881.68,1475,38,43,111,5
3041,3,33,111,23,13,5,8713.3085,3749745.439,213,6,5,15,-1
3042,3,30,110,23,13,1,13943.04632,11853615.1,1519,60,45,147,-15
3043,3,30,110,23,13,1,16695.3554,18312289.23,2008,82,55,195,-27
3044,3,30,110,23,13,1,29957.96923,28881131.49,2720,108,59,263,-49
3045,3,30,100,23,13,1,43547.01975,63871709.33,645,31,27,82,-4
3046,3,30,111,23,13,1,21251.67548,27584963.26,2334,121,131,394,10
3047,3,30,111,23,13,1,20284.14386,24569901.63,1907,78,53,196,-25
3048,3,30,110,23,13,1,20116.81963,21578945.58,2390,116,80,314,-36
3049,3,30,110,23,13,1,19934.76027,14041529.69,1928,119,81,285,-38
3050,3,30,110,23,13,1,24984.71223,22392432.96,1923,64,44,167,-20
3051,3,30,110,23,13,1,15710.67565,14422411.95,843,37,25,95,-12
3052,3,30,110,23,13,1,23673.92119,22227694.62,2670,119,74,281,-45
3053,3,30,111,23,13,1,29098.58936,47050162.29,2723,87,58,218,-29
3054,3,30,111,23,13,1,19449.60517,17141594.68,2539,235,221,663,-14
3055,3,30,111,23,13,1,23080.66137,28305782.08,2194,205,209,624,4
3056,3,30,111,23,13,1,23260.85446,22147112.96,2215,189,183,614,-6
3057,3,30,111,23,13,1,24176.67234,30650895.25,2602,160,138,440,-22
3058,3,30,110,23,13,1,27672.7982,41760203.83,2109,160,123,423,-37
3084,3,30,103,23,13,5,15809.56222,14057225.45,1241,45,38,131,-7
3059,3,30,110,23,13,1,18246.3127,15433178.56,1203,80,70,239,-10
3060,3,30,110,23,13,1,20498.57612,11406160.7,1432,104,83,290,-21
3061,3,30,110,23,13,1,29471.79774,34265726.79,1640,70,45,168,-25
3086,3,30,108,16,13,1,10204.50599,5057670.988,4062,57,111,202,54
3062,3,30,110,23,13,1,38119.50271,62975976.77,3083,109,74,259,-35
3081,3,30,108,23,13,5,8427.256501,3340058.753,1638,34,95,151,61
